startup_name ;Industries;Location;Investor Name;Lead Investor ;Number of Investors;Funding Type ;Month;Day;Year
Kalshi;Finance, Financial Services, FinTech, Internet, Predictive Analytics;New York, New York, United States, North America;Charles Schwab, Henry Kravis, Justin Mateen, Neo, Sequoia Capital, SV Angel, Y Combinator Continuity Fund;Sequoia Capital;7;Series A;Feb;17;2021
Copado ;Collaboration, Developer Platform, Developer Tools, DevOps, IT Management, Software;Chicago, Illinois, United States, North America;Insight Partners, Isai, Lead Edge Capital, Perpetual Growth, Salesforce Ventures;Insight Partners, Salesforce Ventures;5;Series B;Feb;17;2021
GoContractor;Construction, EdTech, Internet, SaaS, Software, Training;New York, New York, United States, North America;Act Venture Capital, Building Ventures, Enterprise Ireland, Ironspring Ventures, Leslie Buckley;Building Ventures, Ironspring Ventures;5;Series A;Feb;17;2021
Census;Analytics, Data Integration, Database, Marketing, SaaS;San Francisco, California, United States, North America;"Akshay Kothari, Andreessen Horowitz, basecase capital, Bryant Chou, Dylan Field, Gokul Rajaram, GTMfund, Guillaume ""G"" Cabane, Jason Warner, Joe Thomas, John Lilly, Josh Ferguson, Parker Conrad, Patrick McKenzie, Ryan Chan, Sequoia Capital, Sriram Krishnan";Sequoia Capital;17;Series A;Feb;18;2021
Replit;Artificial Intelligence (AI), Cloud Computing, Developer Tools, Information Technology, Software;Foster City, California, United States, North America;A.Capital Ventures, Andreessen Horowitz, Anil Patel, Bloomberg Beta, Reach Capital, Y Combinator;A.Capital Ventures;6;Series A;Feb;18;2021
Reprise;Enterprise Software, Information Technology, Software;Boston, Massachusetts, United States, North America;Accomplice, Bain Capital Ventures, Glasswing Ventures;Bain Capital Ventures;3;Series A;Feb;18;2021
SPHERE;Compliance, Cyber Security, Data Governance, Identity Management, SaaS, Software;Newark, New Jersey, United States, North America;Adnane Charchour, Forgepoint Capital, Joel Caminer, Omkhar Arasaratnam;Forgepoint Capital;4;Series A;Feb;18;2021
Velosimo;Data Integration, Developer APIs, Government, GovTech, PaaS, SaaS, Software;Salt Lake City, Utah, United States, North America;Macquarie Capital, Valor Equity Partners;Macquarie Capital;2;Series A;feb;22;2021
Leal Health;Artificial Intelligence (AI), Clinical Trials, Communities, Health Care, Marketplace, SaaS;New York, New York, United States, North America;Connecticut Innovations, Contour Venture Partners, Rho Ventures, TIA Ventures;Contour Venture Partners;4;Series A;Feb;22;2021
SoundCommerce;CRM, Data Integration, E-Commerce, Retail Technology;Seattle, Washington, United States, North America;Defy.vc, Emergence Capital, Voyager Capital;Emergence Capital;3;Series B;Feb;23;2021
Saltmine;Architecture, Commercial Real Estate, Interior Design, SaaS, Software;San Francisco, California, United States, North America;JLL Spark, Jungle Ventures, Xplorer Capital;_;3;Series A;Feb;23;2021
HowGood;Consumer Goods, Database, Green Consumer Goods, Organic Food, Product Research, SaaS, Sustainability;Stone Ridge, New York, United States, North America;Contour Venture Partners, Danone Manifesto Venture, FirstMark, Trailhead Capital;Contour Venture Partners;4;Series A;Feb;23;2021
Hubilo;Enterprise Software, SaaS, Software;San Francisco, California, United States, North America;Balderton Capital, Bossa Invest, Chris Schagen, John Thompson, Lightspeed Venture Partners;Balderton Capital, Lightspeed Venture Partners;5;Series A;Feb;24;2021
Workiz;CRM, Enterprise Software, Recruiting, SaaS, Small and Medium Businesses;San Diego, California, United States, North America;"
Aleph, Magenta Venture Partners, Maor Investments, New Era Capital Partners, TMT Investments";New Era Capital Partners;5;Sereis B;Feb;24;2021
Symbio Robotics;Artificial Intelligence (AI), Industrial Automation, Machine Learning, Robotics, Software;Emeryville, California, United States, North America;ACME Capital, Andreessen Horowitz, Eclipse Ventures, The House Fund;"
ACME Capital";4;Series B;Feb;24;2021
Torch;Corporate Training, E-Learning, Education, Human Resources, Online Portals, SaaS, Software, Training;San Francisco, California, United States, North America;Norwest, Obvious Ventures;Obvious Ventures;2;Series B;Feb;25;2021
Otter.ai;Artificial Intelligence (AI), Collaboration, Consumer Software, Enterprise Software, Information Technology;Mountain View, California, United States, North America;Draper Associates, Draper Dragon, Duke Angel Network, Fusion Fund, Geodesic Capital, GGV Capital, Gutbrain Ventures, H. Barton Asset Management, Horizons Ventures, Notable Capital, NTT DOCOMO Ventures, Omega Venture Partners, Slow Ventures, Spectrum Equity;Omega Venture Partners, Spectrum Equity;14;Series B;Feb;25;2021
Armoblox;Artificial Intelligence (AI), Cyber Security, Information Technology, Internet, Machine Learning;Sunnyvale, California, United States, North America;DJ Patil, General Catalyst, Gerhard Eschelbeck, John Thompson, N47, Polaris Partners, Unusual Ventures;N47;7;Series B;Feb;25;2021
Maze;Analytics, Computer, Product Design, Product Research, SaaS, Software, Usability Testing;Menlo Park, California, United States, North America;Amplify Partners, Emergence Capital, Jay Simons, Partech, Seedcamp;Emergence Capital;5;Series A;Feb;25;2021
Levitate;Artificial Intelligence (AI), Contact Management, CRM, Email Marketing, SaaS;Raleigh, North Carolina, United States, North America;Bull City Venture Partners, Jesse Lipson, Peter Gassner, Tippet Venture Partners;_;4;Series B;Feb;25;2021
Clinical Research IO;Clinical Trials, Data Storage, Information Technology, Management Information Systems;Boston, Massachusetts, United States, North America;Boston Millennia Partners, Mark Lacey, NXT Ventures, Rally Ventures, Raymond Chang;Rally Ventures;5;Series A;Feb;28;2021
Fundraise Up;Artificial Intelligence (AI), B2B, Enterprise Software, FinTech, Non Profit, Payments, Social Impact;Brooklyn, New York, United States, North America;Begin Capital, Telescope Partners;Telescope Partners;2;Series A;Mar;1;2021
Maestro Interactive Inc;eSports, SaaS, Video, Video on Demand, Video Streaming;Reno, Nevada, United States, North America;Aaron Lewis, Acronym Venture Capital, Amy Morhaime, Kevin Lin, Michael Morhaime, NetEase, Richard Gatchalian, SeventySix Capital, Sony Music Entertainment, Stadia Ventures, The Strand Partners, Transcend Fund;_;12;Series B;Mar;2;2021
Zipline;Business Development, Communications Infrastructure, Information Technology, Retail, Retail Technology, SaaS, Software;San Francisco, California, United States, North America;Atacama Ventures, Emergence Capital, Fifth Wall, Fisher Family Fund, Hillsven Capital, Matt Wallach, Ridge Ventures;Fifth Wall;7;Series B;Mar;2;2021
Parabol;Collaboration, Computer, SaaS, Software;Alhambra, California, United States, North America;Almoayed Ventures, CRV, Haystack, M12 - Microsoft's Venture Fund, Techstars;M12 - Microsoft's Venture Fund;5;Series A;Mar;2;2021
Cipher Skin;Big Data, Data Visualization, Hardware, Software, Wireless;Denver, Colorado, United States, North America;Boyett Group, Draper Associates, Tartavull Klein Blatteis Capital, Tribe Capital;Boyett Group;4;Series A;Mar;2;2021
CourseKey;B2B, Education, SaaS, Software, Vocational Education;San Diego, California, United States, North America;Builders VC, SignalFire;SignalFire;2;Series B;Mar;3;2021
Yugabyte;Cloud Infrastructure, Database, Enterprise Software, Open Source;Sunnyvale, California, United States, North America;8VC, Dell Technologies Capital, Greenspring Associates, Lightspeed Venture Partners, Wipro Ventures;Lightspeed Venture Partners;5;Series B;Mar;3;2021
CEREBRUMX;Artificial Intelligence (AI), Automotive, Data Management, Information Technology, Machine Learning;Princeton Junction, New Jersey, United States, North America;Cerence, LG Technology Ventures;LG Technology Ventures;2;Series A;Mar;4;2021
Stream;Communications Infrastructure, Developer APIs, Messaging, Mobile Apps, SaaS, Software;Boulder, Colorado, United States, North America;01 Advisors, Felicis, Johnny Boufarhat, Knight Capital, Notable Capital, Olivier Pomel, Selcuk Atli, Tom Preston-Werner;Felicis;8;Series B;Mar;4;2021
ChurnZero;B2B, Enterprise Software, SaaS, Software;Washington, District of Columbia, United States, North America;Baird Capital, Grotech Ventures, JMI Equity;JMI Equity;3;Series B;Mar;4;2021
Vendr;Information Technology, Logistics, SaaS, Software;Boston, Massachusetts, United States, North America;Craft Ventures, F-Prime, Garage Capital, Sound Ventures, Tiger Global Management, Y Combinator;Tiger Global Management;6;Series A;Mar;8;2021
Demostack;B2B, SaaS, Sales Automation, Software;San Francisco, California, United States, North America;Amiti Ventures, Assaf Rappaport, Bessemer Venture Partners, Boaz Hecht, Cerca Partners, Clark Valberg, Des Traynor, GTMfund, Javier Ortega Estrada, Micha Kaufman, Nir Zohar, Operator Collective, Slavik Markovich, Tomer London, Tomer Tagrin;"
Bessemer Venture Partners";15;Series A;Mar;9;2021
Daily.co;Artificial Intelligence (AI), Communication Hardware, Developer Platform, Information Technology, Software, Video, Video Chat;Mountain View, California, United States, North America;April Underwood, Basement Fund, Compound, Elizabeth Weil, Ellen Levy, Freestyle Capital, Ground Up Ventures, Haystack, Lachy Groom, Moxxie Ventures, Offline Ventures, Root Ventures, Sarah Imbach, Slack Fund, SV Angel, TenOneTen Ventures, Tiger Global Management, Worklife, Y Combinator;Lachy Groom;19;Series A;Mar;9;2021
Privacera;Big Data, Cloud Security, Compliance, Cyber Security, SaaS;San Francisco, California, United States, North America;Accel, Battery Ventures, Cervin Ventures, Insight Partners, Point72 Ventures, Sapphire Ventures;"
Insight Partners";6;Series B;Mar;9;2021
Wrapbook;Finance, Financial Services, FinTech, Payments, SaaS;New York, New York, United States, North America;Andreessen Horowitz, Equal Ventures, Michael Ovitz, Uncork Capital, WndrCo;Andreessen Horowitz;5;Series A;Mar;9;2021
Cube;FinTech, SaaS, Software;New York, New York, United States, North America;Bonfire Ventures, Everywhere Ventures, Mayfield Fund, Operator Collective;Mayfield Fund;4;Series A;Mar;9;2021
